point_index,q,r,s
193,5,-2,-3
194,4,-2,-2
195,3,-2,-1
196,1,-2,1
197,0,-2,2
198,-1,-2,3
199,-2,-2,4
200,-5,-2,7
201,-6,-2,8
202,-7,-2,9
203,-8,-2,10
204,-9,-2,11
205,-10,-2,12
206,-10,-3,13
207,-9,-3,12
208,-8,-3,11
209,-7,-3,10
210,-6,-3,9
211,-5,-3,8
212,-4,-3,7
213,-3,-3,6
214,-2,-3,5
215,-1,-3,4
216,3,-3,0
217,4,-3,-1
218,5,-3,-2
219,6,-3,-3
220,7,-3,-4
221,8,-3,-5
222,9,-3,-6
223,10,-3,-7
224,11,-4,-7
225,10,-4,-6
226,9,-4,-5
227,8,-4,-4
228,7,-4,-3
229,5,-4,-1
230,4,-4,0
231,3,-4,1
232,2,-4,2
233,1,-4,3
234,-1,-4,5
235,-2,-4,6
236,-3,-4,7
237,-4,-4,8
238,-5,-4,9
239,-6,-4,10
240,-7,-4,11
241,-8,-4,12
242,-9,-4,13
243,-8,-5,13
244,-6,-5,11
245,-5,-5,10
246,-4,-5,9
247,-3,-5,8
248,-2,-5,7
249,-1,-5,6
250,0,-5,5
251,2,-5,3
252,3,-5,2
253,3,-5,2
254,4,-5,1
255,7,-5,-2
256,8,-5,-3
257,9,-5,-4
258,10,-5,-5
259,11,-5,-6
260,11,-6,-5
261,10,-6,-4
262,9,-6,-3
263,8,-6,-2
264,7,-6,-1
265,6,-6,0
266,3,-6,3
267,2,-6,4
268,1,-6,5
269,0,-6,6
270,-1,-6,7
271,-2,-6,8
272,-3,-6,9
273,-4,-6,10
274,-5,-6,11
275,-6,-6,12
276,-5,-7,12
277,-4,-7,11
278,-3,-7,10
279,-2,-7,9
280,-1,-7,8
281,0,-7,7
282,1,-7,6
283,2,-7,5
284,3,-7,4
285,4,-7,3
286,5,-7,2
287,6,-7,1
288,7,-7,0
289,8,-7,-1
290,9,-7,-2
291,10,-7,-3
292,11,-7,-4
293,11,-8,-3
294,10,-8,-2
295,9,-8,-1
296,8,-8,0
297,7,-8,1
298,6,-8,2
299,5,-8,3
300,4,-8,4
301,3,-8,5
302,2,-8,6
303,1,-8,7
304,0,-8,8
305,-1,-8,9
306,-2,-8,10
307,-3,-8,11
308,0,-9,9
309,1,-9,8
310,2,-9,7
311,3,-9,6
312,4,-9,5
313,5,-9,4
314,9,-9,0
315,10,-9,-1
316,11,-9,-2
317,10,-10,0
318,9,-10,1
319,8,-10,2
320,7,-10,3
321,6,-10,4
322,5,-10,5
323,4,-10,6
324,3,-10,7
325,2,-10,8
326,1,-10,9
327,3,-11,8
328,4,-11,7
329,5,-11,6
330,6,-11,5
331,7,-11,4
332,8,-11,3
333,9,-11,2
334,5,-12,7
